business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,date,time
1788,EXECUTIVE CAFE,150 EXECUTIVE PARK Blvd 2000,94134,37.711323,-122.393371,-1568436221,2019-02-11,92,Routine - Unscheduled,103144,Unapproved or unmaintained equipment or utensils,Low Risk,2019-02-11,1970-01-01T12:00:00.000Z
5297,EL NORTEO,801 bryant St,94103,37.776011,-122.402466,1439192693,2017-01-01,94,Routine - Unscheduled,103154,Unclean or degraded floors walls or ceilings,Low Risk,2017-01-01,1970-01-01T12:00:00.000Z
7538,FREDS LIQUOR & DELI,151 06th St,94103,37.774722,-122.406761,-2094073070,2017-10-26,96,Routine - Unscheduled,103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,2017-10-26,1970-01-01T12:00:00.000Z
35199,Pho #1,2571 SAN BRUNO Ave,94134,37.729254,-122.40426,-1952992312,2019-04-08,71,Routine - Unscheduled,103102,Unclean hands or improper use of gloves,High Risk,2019-04-08,1970-01-01T12:00:00.000Z
19041,Nama Sushi,227 King St,94107,37.777398,-122.392391,1449678201,2019-03-29,82,Routine - Unscheduled,103157,Food safety certificate or food handler card not available,Low Risk,2019-03-29,1970-01-01T12:00:00.000Z
64653,Mow Lee Company,774 Commercial St,94108,37.793907,-122.405863,1394400328,2018-08-08,80,Routine - Unscheduled,103157,Food safety certificate or food handler card not available,Low Risk,2018-08-08,1970-01-01T12:00:00.000Z
63082,The Brick Yard,1787 Union St,94123,37.797933,-122.428627,-1086787312,2017-05-12,70,Routine - Unscheduled,103131,Moderate risk vermin infestation,Moderate Risk,2017-05-12,1970-01-01T12:00:00.000Z
5194,CULINARY ARTS & HOSPITALITY,50 PHELAN Ave,94112,37.723638,-122.452273,-270862315,2018-05-01,90,Routine - Unscheduled,103129,Insufficient hot water or running water,Moderate Risk,2018-05-01,1970-01-01T12:00:00.000Z
61989,Osha Thai Restaurant & Lounge,311 03rd St,94107,37.783662,-122.398704,1282382179,2019-03-07,88,Routine - Unscheduled,103120,Moderate risk food holding temperature,Moderate Risk,2019-03-07,1970-01-01T12:00:00.000Z
4335,ASIA SF LLC,201 09th St,94103,37.775025,-122.413093,-271525870,2017-10-26,82,Routine - Unscheduled,103154,Unclean or degraded floors walls or ceilings,Low Risk,2017-10-26,1970-01-01T12:00:00.000Z
2085,KENTUCKY FRIED CHICKEN #249,691 EDDY St,94109,37.783053,-122.418988,-1933236396,2016-11-08,78,Routine - Unscheduled,103156,Permit license or inspection report not posted,Low Risk,2016-11-08,1970-01-01T12:00:00.000Z
5952,IMMACULATE CONCPTION ACADEMY,3625 24th St,94110,37.751923,-122.423558,-1780283233,2017-09-11,98,Routine - Unscheduled,103144,Unapproved or unmaintained equipment or utensils,Low Risk,2017-09-11,1970-01-01T12:00:00.000Z
5257,LITTLE BAOBAB,3388 19th St,94110,37.760295,-122.418953,1734170813,2018-09-25,87,Routine - Unscheduled,103142,Unclean nonfood contact surfaces,Low Risk,2018-09-25,1970-01-01T12:00:00.000Z
2664,Alice's Restaurant,1599 Sanchez St,94131,37.743602,-122.428803,132208859,2018-12-11,72,Routine - Unscheduled,103105,Improper cooling methods,High Risk,2018-12-11,1970-01-01T12:00:00.000Z
63256,Viva Goa Indian Cuisine,2420 LOMBARD St,94123,37.799188,-122.441423,-866656601,2017-04-07,60,Routine - Unscheduled,103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,2017-04-07,1970-01-01T12:00:00.000Z
1542,I LUV TERIYAKI AND SUSHI,270 Potrero Ave,94103,37.766293,-122.407671,-398651951,2017-07-05,83,Routine - Unscheduled,103103,High risk food holding temperature,High Risk,2017-07-05,1970-01-01T12:00:00.000Z
5854,Gateway High/Kip Schools,1430 Scott St,94115,37.783427,-122.437747,1304618163,2017-04-19,89,Routine - Unscheduled,103144,Unapproved or unmaintained equipment or utensils,Low Risk,2017-04-19,1970-01-01T12:00:00.000Z
